chapter,q_type,text,options,answer
第六章 习题-副本,单选题,1 ( )是根据我国发展阶段、环境、条件变化提出来的，是重塑我国国际合作和竞争新优势的战略抉择。,A、 新发展阶段||B、 新发展理念||C、 新发展格局||D、 新发展时期,C
第六章 习题-副本,单选题,2 国有企业是中国特色社会主义的重要物质基础和政治基础，关系( )地位的巩固，关系我们党的执政地位和执政能力，关系我国社会主义制度。,A、 社会发展主体||B、 经济体制主体||C、 人民主体||D、 公有制主体,D
第六章 习题-副本,单选题,3 现代化经济体系必须坚持质量第一、( )优先。,A、 速度||B、 人才||C、 利益||D、 效益,D
第六章 习题-副本,单选题,4 ( )是实现高质量发展的指导原则。,A、 新发展理念||B、 新发展方位||C、 新发展阶段||D、 供给侧改革,A
第六章 习题-副本,单选题,5 建设充分发挥( )，更好发挥政府作用的经济体制。,A、 市场作用||B、 社会福利补给||C、 服务业动能||D、 社会作用,A
第六章 习题-副本,单选题,6 经济改革的方向是要让( )在资源配置中发挥决定性作用。,A、 科技||B、 政府||C、 市场||D、 创新,C
第六章 习题-副本,单选题,7 ( )是化解我国经济发展面临困难和矛盾的重大举措。,A、 健全民主法制||B、 供给侧结构性改革||C、 人民主体地位||D、 社会公平正义,B
第六章 习题-副本,单选题,8 构建高水平社会主义市场经济体制，关键是要( )。,A、 处理好政府和市场的关系||B、 处理好当前利益和长远利益的关系||C、 处理好中国和外国的关系||D、 处理好效率和公平的关系,A
第六章 习题-副本,单选题,9 ( )的发展理念，相互贯通、相互促进，是具有内在联系的集合体，要统一贯彻，不能顾此失彼，也不能相互替代。,A、 创新、和谐、绿色、开放、发展||B、 改革、和谐、绿色、开放、共享||C、 创新、协调、和谐、开放、共赢||D、 创新、协调、绿色、开放、共享,D
第六章 习题-副本,单选题,10 我们乘势而上开启全面建设社会主义现代化国家新征程、向第二个百年奋斗目标进军，这标志着我国进入了一个( )。,A、 新发展格局||B、 新发展阶段||C、 新发展方位||D、 新发展时期,B
第六章 习题-副本,单选题,11 我国经济已由高速增长阶段转向( )，正处在转变发展方式、优化经济结构、转换增长动力的攻关期。,A、 高质量发展阶段||B、 低速阶段||C、 高水平发展阶段||D、 中高速阶段,A
第六章 习题-副本,单选题,12 党的十八大以来，我国经济已由高速增长阶段转向()阶段。,A、 高水平开放||B、 高质量发展||C、 强动力转换||D、 世界级市场,B
第六章 习题-副本,单选题,13 ( )是发展行动的先导。,A、 发展策略||B、 发展方向||C、 发展理念||D、 发展格局,C
第六章 习题-副本,单选题,14 ()是引领发展的第一动力。,A、 劳动力||B、 科技||C、 创新||D、 资本,C
第六章 习题-副本,多选题,1 高质量发展的重大战略意义是( ).,A、 高质量发展是不断满足人民对美好生活需要的重要保证。||B、 高质量发展是维护国家长治久安的必然要求。||C、 高质量发展为全面建设社会主义现代化国家提供更为坚实的物质基础。||D、 以上都对,ABCD
第六章 习题-副本,多选题,2 建设( )的高标准市场体系，是发挥我国市场优势的必然选择。,A、 统一开放||B、 竞争有序||C、 制度完备||D、 治理完善,ABCD
第六章 习题-副本,多选题,3 社会主义基本经济制度包括( )。,A、 人民代表大会制度||B、 按劳分配为主体、多种分配方式并存||C、 社会主义市场经济体制||D、 公有制为主体、多种所有制经济共同发展,BCD
第六章 习题-副本,多选题,4 构建新发展格局，必须( )。,A、 保证经济循环的畅通无阻||B、 具备强大的国内经济循环体系和稳固的基本盘，巩固和发展我国经济的强大竞争力||C、 实现经济在高水平上的动态平衡||D、 发挥比较优势，以国内大循环吸引全球资源要素,ABCD
第六章 习题-副本,多选题,5 以下对于国有企业认识的观点，正确的是( )。,"A、 要深化国有企业改革,坚持有利于国有资产保值增值||B、 国有企业是中国特色社会主义的重要物质基础和政治基础||C、 国有企业与民争利||D、 坚持党对国有企业的领导不动摇||E、 推动国有资本和国有企业做强做优做大。",ABCDE
第六章 习题-副本,多选题,6 非公有制经济包括( ).,A、 个体经济||B、 外商投资经济||C、 港澳台投资经济||D、 混合所有制经济中的非国有成分和非集体成分||E、 民营经济,ABCDE
第六章 习题-副本,多选题,7 公有制经济包括( )。,A、 集体经济||B、 国有经济||C、 混合所有制经济中的国有成分||D、 混合所有制经济中的集体成分,ABCD
第六章 习题-副本,多选题,8 新发展阶段是( )。,A、 决胜全面小康社会的阶段||B、 全面建设社会主义现代化国家、向第二个百年奋斗目标进军的重要阶段。||C、 中国共产党带领人民迎来从站起来、富起来到强起来历史性跨越的新阶段||D、 我国社会主义初级阶段历史进程中的一个重要阶段,ABCD
第六章 习题-副本,多选题,9 促进区域协调发展，( )。,A、 是贯彻新发展理念的重要内容，也是实现高质量发展的必然要求||B、 要求各地区在经济发展上达到同一水平||C、 要深入实施区域协调发展战略、区域重大战略、主体功能区战略||D、 要推进以人为核心的新型城镇化，加快农业转移人口市民化。,ACD
第六章 习题-副本,多选题,10 公有制经济 ( )。,A、 是全体人民的宝贵财富||B、 公有制主体地位不能动摇||C、 是巩固党的执政地位、坚持我国社会主义制度的重要保证||D、 是我国各族人民共享发展成果的制度性保证,ABCD
第六章 习题-副本,多选题,11 我国非公有制经济是( )。,A、 国家税收的重要来源||B、 社会主义市场经济的重要组成部分||C、 经济持续健康发展的重要力量||D、 就业创业的重要领域，||E、 稳定经济的重要基础,ABCDE
第六章 习题-副本,多选题,12 建设现代化产业体系,A、 加快发展数字经济||B、 大力发展战略性新兴产业||C、 发展现代流通产业||D、 构建优质高效的服务业新体系||E、 巩固优势产业领先地位,ABCDE
第六章 习题-副本,多选题,13 大力推动构建新发展格局，必须( )。,A、 着力发展实体经济||B、 着力推动产业链供应链优化升级||C、 着力破除制约加快构建新发展格局的主要矛盾和问题||D、 着力推动实施扩大内需战略同深化供给侧结构性改革有机结合||E、 坚持持问题导向和系统观念,ABCDE
第六章 习题-副本,多选题,14 全面地理解和把握新发展理念，( ),A、 要从忧患意识上把握新发展理念，下好先手棋，打好主动仗||B、 要从根本宗旨上把握新发展理念，坚持以人民为中心的发展思想||C、 要从问题导向上把握新发展理念，切实解决发展不平衡不充分问题||D、 新发展理念是引领我国发展全局深刻变革的科学指引,ABCD
第六章 习题-副本,多选题,15 新发展理念具有丰富的科学内涵和具体的实践要求是( )。,A、 创新是引领发展的第一动力，创新发展注重的是解决发展动力问题||B、 开放是国家繁荣发展的必由之路，开放发展注重的是解决发展内外联动问题||C、 共享是中国特色社会主义的本质要求，共享发展注重的是解决社会公平正义问题||D、 协调是持续健康发展的内在要求，协调发展注重的是解决发展不平衡问题||E、 绿色是永续发展的必要条件和人民对美好生活追求的重要体现，绿色发展注重的是解决人与自然和谐共生问题,ABCDE
第六章 习题-副本,多选题,16 构建新发展格局是( )。,"A、 以全国统一大市场基础上的国内大循环为主体,不是各地都搞自我小循环||B、 事关全局的系统性、深层次变革||C、 开放的国内国际双循环，不是封闭的国内单循环||D、 把握未来发展主动权的先手棋||E、 适应我国发展新阶段要求、塑造国际合作和竞争新优势的必然选择",ABCDE
第六章 习题-副本,填空题,1 贯彻____是新时代我国发展壮大的必由之路。,,新发展理念
第六章 习题-副本,填空题,2 构建以____为主体、____相互促进的新发展格局，是推动高质量发展的战略基点，是关系我国发展全局的重大战略任务。,,国内大循环 国内国际双循环
第六章 习题-副本,填空题,"3 公有制经济和____都是社会主义市场经济的重要组成部分,都是我国经济社会发展的重要基础。",,非公有制经济
第六章 习题-副本,填空题,4 ____是中国特色社会主义的重要物质基础和政治基础，是我们党执政兴国的重要支柱和依靠力量。,,国有企业
第六章 习题-副本,填空题,5 ____是全面建设社会主义现代化国家的首要任务。,,高质量发展
第六章 习题-副本,填空题,6 使市场在资源配置中起____作用，更好地发挥____作用，这是我们党对中国特色社会主义建设规律认识的一个新突破。,,决定性 政府
第六章 习题-副本,填空题,7 ____是党和国家治理经济的重要方式，其主要任务是保持经济总量平衡，促进重大经济结构协调和生产力布局优化。,,宏观调控
第六章 习题-副本,填空题,8 我们确立了____、____并存的分配制度，形成了我国的基本分配制度。,,按劳分配为主体 多种分配方式
第六章 习题-副本,判断题,1 坚持创新发展、协调发展、绿色发展、开放发展、共享发展，是关系我国发展全局的一场深刻变革。( ),,对
第六章 习题-副本,判断题,2 全面建设社会主义现代化国家，最艰巨最繁重的任务依然在农村，最广泛最深厚的基础依然在农村。( ),,对
第六章 习题-副本,判断题,3 经济发展是一个螺旋式上升的过程，上升不是线性的，量积累到一定阶段，必须转向质的提升，我国经济发展也要遵循这一规律。( ),,对
第六章 习题-副本,判断题,4 共享既是发展手段又是发展目标，同时还是评价发展的标准和尺度。( ),,错
第六章 习题-副本,判断题,5 坚持全民共享、全面共享、共建共享、渐进共享，使全体人民有更多获得感、幸福感、安全感，朝着共同富裕方向稳步前进。( ),,对
第六章 习题-副本,判断题,6 我国将立足新发展阶段，贯穿新发展理念，积极构建以国际大循环为主体、国内国际双循环相互促进的新发展格局。( ),,错
第六章 习题-副本,判断题,7 建设现代化经济体系是我国发展的战略目标，是推动高质量发展、全面提高经济整体竞争力的必然要求。( ),,对
第十七章-副本,单选题,1 坚持和加强党的全面领导，坚持党要管党、全面从严治党，以( )为主线。,A、 调动全党积极性、主动性、创造性||B、 加强党的长期执政能力建设、先进性和纯洁性建设||C、 党的政治建设||D、 坚定理想信念宗旨,B
第十七章-副本,单选题,2 ( )是党的建设的一贯要求和根本方针。,A、 党要管党、从严治党||B、 与时俱进||C、 勇于自我革命||D、 “四个意识”和“两个维护”,A
第十七章-副本,单选题,3 经过不懈努力，党找到了( )这一跳出治乱兴衰历史周期率的第二个答案，确保党永远不变质、不变色、不变味。,A、 自我完善||B、 新发展理念||C、 总体国家安全观||D、 自我革命,D
第十七章-副本,单选题,4 ( )就是要坚定理想信念宗旨，自觉抵御各种腐朽思想侵蚀，提高政治免疫力，清除一切侵蚀党的健康肌体的病毒。,A、 自我净化||B、 自我革新||C、 自我完善||D、 自我提高,A
第十七章-副本,单选题,5 ( )是党的政治建设的首要任务。,A、 学习贯彻习近平新时代中国特色社会主义思想||B、 保证全党服从中央，维护党中央权威和集中统一领导||C、 贯彻“四个全面”||D、 增强“四个意识”,B
第十七章-副本,单选题,6 ( )是我们党区别于其他政党的显著标志,A、 勇于挑战||B、 勇于创新||C、 勇于自我革命||D、 勇于突破,C
第十七章-副本,单选题,7 坚持党要管党、全面从严治党，以党的( )为统领。,A、 作风建设||B、 组织建设||C、 思想建设||D、 政治建设,D
第十七章-副本,单选题,8 新中国成立以来，中国共产党人提出跳出历史周期率的两个答案是( )。,A、 让人民来监督政府;自我革命||B、 自力更生;艰苦奋斗||C、 以经济建设为中心;改革开放||D、 实现四个现代化和实现中华民族伟大复兴,A
第十七章-副本,单选题,9 党的十九大强调，党的( )是党的根本性建设，要摆在首位。,A、 作风建设||B、 政治建设||C、 思想建设||D、 组织建设,B
第十七章-副本,单选题,10 ( )是党的基础性建设。,A、 政治建设||B、 作风建设||C、 思想建设||D、 制度建设,C
第十七章-副本,单选题,11 全面建设社会主义现代化国家、全面推进中华民族伟大复兴，关键在党，关键在( )。,A、 党中央||B、 维护党中央权威||C、 高质量发展||D、 全面从严治党,D
第十七章-副本,多选题,1 党的十八大以来，我们坚持党要管党、全面从严治党，坚持问题导向，以整治“四风”为突破口，“四风”包括:形式主义、( ),A、 奢靡之风||B、 享乐主义||C、 官僚主义||D、 利己主义,ABC
第十七章-副本,多选题,2 之所以要把党的政治建设摆在首位，是因为( )。,A、 只有党的政治建设抓好了，党的建设才能夯基固本||B、 旗帜鲜明讲政治是我们党作为马克思主义政党的根本要求||C、 如果马克思主义政党政治上的先进性丧失了，党的先进性和纯洁性就无从谈起||D、 党的政治建设决定党的建设方向和效果,ABCD
第十七章-副本,多选题,3 加强党的自身建设是( )。,A、 新形势下推进进行伟大斗争的必然要求||B、 新形势下推进实现伟大梦想的必然要求||C、 把党锻造成为坚强有力的马克思主义执政党的迫切需要||D、 新形势下推进伟大事业的必然要求,ABCD
第十七章-副本,多选题,4 中国共产党是世界上最大的马克思主义执政党，解决大党独有难题，要( )。,A、 坚守奠基创业时的初心，坚守党的理想信念宗旨||B、 以清醒的自觉、持续的定力破解难题||C、 在重大问题、严峻形势面前始终心往一处想、劲往一处使||D、 始终保持艰苦奋斗、奋发有为的精气神，敢于斗争、勇于担当作为||E、 与时俱进提高科学执政、民主执政、依法执政水平,ABCDE
第十七章-副本,多选题,5 我们党之所以勇于自我革命，是因为( )。,A、 以上都正确||B、 我们党立志于中华民族千秋伟业，始终坚守初心使命||C、 我们党有高度的自信，勇于坚持真理、修正错误||D、 我们党除了国家、民族、人民的利益，没有任何自己的特殊利益,ABCD
第十七章-副本,多选题,6 全面从严治党，关键在严，“关键在严”，就是( )。,A、 坚持严字当头，把严的要求贯穿党的建设全过程||B、 做到真管真严、敢管敢严、长管长严||C、 敢于动真格，不降标准，不图形式，不走过场||D、 让一切违纪违规的言行无处遁形,ABCD
第十七章-副本,多选题,7 加强作风建设，必须( )。,A、 要锲而不舍落实中央八项规定精神，持续深化纠治“四风”||B、 紧紧围绕保持党同人民群众的血肉联系，增强群众观念和群众感情||C、 促进党员干部特别是领导干部带头深入调查研究||D、 要推进作风建设常态化长效化||E、 要弘扬党的光荣传统和优良作风,ABCDE
第十七章-副本,多选题,8 全面从严治党，“要害在治”，就是( )。,A、 敢于瞪眼黑脸，勇于执纪问责||B、 各级纪委要担负起监督责任||C、 坚持标本兼治，拔“烂树”、治“病树”、正“歪树”||D、 从党中央到地方各级党委都要担负起主体责任||E、 要真正解决问题、切实担起责任,ABCDE
第十七章-副本,多选题,9 新形势下党执政面临的“四大考验”包括长期执政考验、( ),A、 管党治党考验||B、 外部环境考验||C、 改革开放考验||D、 市场经济考验,BCD
第十七章-副本,多选题,10 坚决打赢反腐败斗争攻坚战持久战，必须清醒认识到，腐败和反腐败较量还在激烈进行，必须( )。,A、 坚决防止政商勾连、资本向政治领域渗透等破坏政治生态和经济发展环境的腐败||B、 坚持以零容忍态度反腐惩恶不动摇||C、 要坚决惩治不收敛不收手、胆大妄为者||D、 坚决查处政治问题和经济问题交织的腐败||E、 坚决防止领导干部成为利益集团和权势团体的代言人、代理人,ABCDE
第十七章-副本,多选题,11 党的二十大报告指出，中国共产党立志于中华民族千秋伟业，致力于人类和平与发展崇高事业，全党同志要始终牢记“三个务必”，这“三个务必”是( )。,A、 务必贯彻好群众路线||B、 务必不忘初心、牢记使命||C、 务必谦虚谨慎、艰苦奋斗||D、 务必敢于斗争、善于斗争,BCD
第十七章-副本,多选题,12 习近平关于党的建设的重要思想，包括( )。,A、 坚持持之以恒正风肃纪;坚持一体推进不敢腐、不能腐、不想腐||B、 坚持和加强党的全面领导;坚持以党的自我革命引领社会革命||C、 坚持思想建党、理论强党;坚持严密党的组织体系||D、 坚持以党的政治建设统领党的建设各项工作;坚持江山就是人民、人民就是江山||E、 坚持造就忠诚干净担当的高素质干部队伍;坚持聚天下英才而用之,ABCDE
第十七章-副本,多选题,13 全面从严治党是一项管党治党的系统工程，要( )。,"A、 坚持制度上全贯通，把制度建设要求体现到全面从严治党全过程||B、 坚持对象上全覆盖，面向党的各级组织和全体党员||C、 坚持内容上全涵盖，党的建设推进到哪里，全面从严治党体系就要构建到哪里||D、 坚持责任上全链条,让每名党员、干部行使应有权利、履行应尽责任",ABCD
第十七章-副本,多选题,"14 新时代党的建设总要求,包括( )。",A、 坚持和加强党的全面领导，坚持党要管党、全面从严治党||B、 把制度建设贯穿其中，深入推进反腐败斗争||C、 把党建设成为人民衷心拥护、勇于自我革命的马克思主义执政党||D、 以加强党的长期执政能力建设、先进性和纯洁性建设为主线||E、 以党的政治建设为统领，以坚定理想信念宗旨为根基，全面推进党的各项建设,ABCDE
第十七章-副本,多选题,15 我们要落实新时代党的建设总要求，健全全面从严治党体系，全面推进党的( ),A、 自我完善||B、 自我革新||C、 自我提高||D、 自我净化,ABCD
第十七章-副本,多选题,16 党的十八大以来，以习近平同志为核心的党中央坚持以雷霆之势惩治腐败，走出一条依靠制度优势、法治优势反腐败之路，具体表现在( )。,A、 “打虎”“拍蝇”“猎狐”多管齐下||B、 把权力关进制度的笼子里||C、 坚持不敢腐、不能腐、不想腐一体推进||D、 构建起党全面领导的反腐败工作格局||E、 依靠理想信念教育作为反腐败的根本举措,ABCD
第十七章-副本,多选题,17 新形势下党执政面临的“四大危险”包括精神懈怠危险、( ),A、 脱离群众危险||B、 动力不足考验||C、 消极腐败危险||D、 能力不足危险,ACD
第十七章-副本,填空题,1 作风问题的核心是____的关系问题。,,党同人民群众
第十七章-副本,填空题,2 党的十八大以来，以习近平同志为核心的党中央把全面从严治党纳入“四个全面”战略布局，深入推进新时代党的建设新的伟大工程，提出一系列新理念新思想新战略，形成习近平____的重要思想。,,关于党的建设
第十七章-副本,填空题,3 全面从严治党，核心是____，基础在全面，关键在严，要害在治。,,加强党的领导
第十七章-副本,填空题,4 ____是危害党的生命力和战斗力的最大毒瘤，是党长期执政面临的最大威胁。____是最彻底的自我革命，是全面从严治党的“必答题”。,,腐败 反腐败
第十七章-副本,填空题,5 ____是党永葆生机活力、走好新的赶考之路的必由之路，是新时代党的建设的鲜明主题。,,全面从严治党
第十七章-副本,填空题,6 党的____是跳出历史周期率的第二个答案。,,自我革命
第十七章-副本,判断题,1 党的自我革新，就是要永不僵化、永不停滞，在学习实践中砥砺品格、增长才干，全面增强执政本领，不断提升政治境界、思想境界、道德境界，永葆党的生机活力。( ),,错
第十七章-副本,判断题,2 党的自我革命是跳出历史周期率的第一个答案。( ),,错
第十七章-副本,判断题,3 要以伟大社会革命引领伟大自我革命，以伟大自我革命促进伟大社会革命，确保党在新时代坚持和发展中国特色社会主义的历史进程中始终成为坚强领导核心。( ),,错
第十七章-副本,判断题,4 全面从严治党，核心是加强党的领导，基础在全面，关键在严，要害在治。( ),,对
第十七章-副本,判断题,5 政治建设是党永葆生机活力、走好新的赶考之路的必由之路。( ),,错
第十七章-副本,判断题,6 党的政治建设是根本性建设，决定党的建设的方向和效果，只有党的政治建设抓好了，党的建设才能夯基固本。( ),,对
第七章 社会主义现代化建设的教育、科技、人才战略-副本,单选题,1 ( )是科技创新的源头。我国面临的很多“卡脖子”技术问题，根子是基础理论研究跟不上。,A、 应用研究||B、 基础研究||C、 经济特区||D、 国家实验室,B
第七章 社会主义现代化建设的教育、科技、人才战略-副本,单选题,2 ( )是国家强盛之基、安全之要。,A、 科技自立自强||B、 人才引进||C、 共同富裕||D、 改革开放,A
第七章 社会主义现代化建设的教育、科技、人才战略-副本,单选题,3 ( )提出“科学技术是第一生产力”。,A、 毛泽东||B、 胡锦涛||C、 邓小平||D、 习近平,C
第七章 社会主义现代化建设的教育、科技、人才战略-副本,单选题,4 科教兴国是我国的( )。,A、 基本战略||B、 基本政策||C、 基本路线||D、 基本国策,D
第七章 社会主义现代化建设的教育、科技、人才战略-副本,单选题,5 ( )是发展教育的根本尺度。,A、 实现共同富裕||B、 科技突破||C、 人民满意||D、 发展生产力,C
第七章 社会主义现代化建设的教育、科技、人才战略-副本,单选题,6 必须坚持( )是第一生产力。,A、 环境||B、 人才||C、 资源||D、 科技,D
第七章 社会主义现代化建设的教育、科技、人才战略-副本,单选题,7 ( )是发展第一动力。,A、 创新||B、 党的领导||C、 人才||D、 科技,A
第七章 社会主义现代化建设的教育、科技、人才战略-副本,单选题,8 ( )是民族振兴、社会进步的基石。,A、 人才||B、 科技||C、 共同富裕||D、 教育,D
第七章 社会主义现代化建设的教育、科技、人才战略-副本,单选题,9 必须坚持教育优先发展，把( )作为教育的根本任务，办好人民满意的教育。,A、 社会实践||B、 专业技术||C、 立德树人||D、 创新拔尖,C
第七章 社会主义现代化建设的教育、科技、人才战略-副本,单选题,10 ( )是我们攀登世界科技高峰的必由之路。,A、 自主创新||B、 信息技术||C、 守正创新||D、 脱贫攻坚,A
第七章 社会主义现代化建设的教育、科技、人才战略-副本,多选题,1 建设教育强国是( )。,"A、 是实现高水平科技自立自强的重要支撑||B、 全面建成社会主义现代化强国的战略先导||C、 是以中国式现代化全面推进中华民族伟大复兴的基础工程,||D、 必须把教育事业放在优先发展的战略位置",ABCD
第七章 社会主义现代化建设的教育、科技、人才战略-副本,多选题,2 实施人才强国战略，( )，实施更加积极、更加开放、更加有效的人才政策。,A、 完善人才战略布局||B、 要坚持党管人才原则||C、 深化人才发展体制机制改革||D、 坚持尊重劳动、尊重知识、尊重人才、尊重创造,ABCD
第七章 社会主义现代化建设的教育、科技、人才战略-副本,多选题,3 实现高水平科技自立自强是( )。,A、 推动高质量发展的内在要求||B、 应对风险挑战和维护国家利益的必然选择||C、 构建新发展格局的内在要求||D、 满足人民美好生活需要的内在要求,ABCD
第七章 社会主义现代化建设的教育、科技、人才战略-副本,多选题,4 我们培养的人，( )。,A、 要有高尚的道德品质，厚植爱国主义情怀||B、 要积极投身社会实践，增长经验和技能||C、 要坚定共产主义远大理想和中国特色社会主义共同理想||D、 要养成刻苦学习的习惯,ABCD
第七章 社会主义现代化建设的教育、科技、人才战略-副本,多选题,5 落实立德树人根本任务，必须着力解决好( )的问题，这是教育的根本问题，也是( )的核心课题。,A、 为谁培养人||B、 建设教育强国||C、 怎样培养人||D、 培养什么人,ABCD
第七章 社会主义现代化建设的教育、科技、人才战略-副本,多选题,6 实施( )是增强综合国力、满足人民群众美好生活需要的必然要求，是建设教育强国、科技强国、人才强国的重大举措,A、 人才强国战略||B、 创新驱动发展战略||C、 “四个全面战略”||D、 科教兴国战略,ABD
第七章 社会主义现代化建设的教育、科技、人才战略-副本,多选题,7 实施创新驱动发展战略，( )，让创新成为全社会的共同行动。,A、 要坚持面向世界科技前沿、面向经济主战场||B、 要坚持面向国家重大需求、面向人民生命健康||C、 坚持科技创新，增强自主创新能力||D、 坚决打赢关键核心技术攻坚战,ABCD
第七章 社会主义现代化建设的教育、科技、人才战略-副本,多选题,"8 全面建设社会主义现代化国家,( )。",A、 人才是基础||B、 科技是关键||C、 教育是根本||D、 改革是保证,ABC
第七章 社会主义现代化建设的教育、科技、人才战略-副本,多选题,9 办好人民满意的教育，( )。,A、 大力促进教育公平||B、 坚持深化教育改革创新||C、 提升教育服务经济社会发展能力||D、 加快建设高质量教育体系||E、 坚持把教师队伍建设作为基础工作,ABCDE
第七章 社会主义现代化建设的教育、科技、人才战略-副本,多选题,10 必须坚持教育( )。,A、 为人民服务||B、 为改革开放和社会主义现代化建设服务||C、 为中国共产党治国理政服务||D、 为巩固和发展中国特色社会主义制度服务,ABCD
第七章 社会主义现代化建设的教育、科技、人才战略-副本,多选题,11 建设人才强国，必须( )。,A、 走好人才自主培养之路||B、 深化人才发展体制机制改革||C、 坚持党对人才工作的全面领导||D、 营造识才爱才敬才用才的环境||E、 加快建设世界重要人才中心和创新高地,ABCDE
第七章 社会主义现代化建设的教育、科技、人才战略-副本,多选题,12 教育优先发展，要做到( )，使我国教育越办越好。,A、 推动健全优先发展教育事业的体制机制||B、 经济社会发展规划优先安排教育发展||C、 公共资源配置优先满足教育和人力资源开发需要||D、 财政资金投入优先保障教育投入,ABCD
