chapter,q_type,text,options,answer
第十六章-副本,单选题,7 ( )，是全人类的共同价值，也是联合国的崇高目标。目标远未完成，我们仍须努力。,A、 和平、发展、公平、正义、民主、自由||B、 经济、安全、公平、正义、合作、共赢||C、 和平、发展、合作、开放、民主、自由||D、 经济、发展、合作、包容、民主、共赢,A
第十六章-副本,单选题,8 坚持以( )为依托打造全球伙伴关系。,A、 深化外交布局||B、 共商共建共享||C、 维护世界和平、促进共同发展||D、 维护党中央权威,A
第十六章-副本,多选题,1 运筹好大国关系，推动构建总体稳定、均衡发展的大国关系框架至关重要。大国之间相处，要( )。,A、 相互尊重||B、 合作共赢||C、 不对抗||D、 不冲突,ABCD
第十六章-副本,多选题,2 和平与发展仍然是当今时代主题，( )成为不可阻挡的时代潮流。,A、 共赢||B、 发展||C、 和平||D、 合作,ABCD
第十六章-副本,多选题,3 对构建人类命运共同体是世界各国人民前途所在的正确理解是( )。,A、 各国相互联系更紧密，和平、发展、合作、共赢的历史潮流不可阻挡||B、 构建人类命运共同体是我们党审视当今世界发展趋势、针对当今世界面临的重大问题提出的重要理念||C、 构建人类命运共同体理念为人类社会实现共同发展绘制了蓝图，具有重大而深远的意义||D、 全球发展深层次矛盾突出，恃强凌弱、零和博弈等霸凌行径危害深重||E、 和平赤字、发展赤字、安全赤字、治理赤字加重,ABCDE
第十六章-副本,多选题,4 对推进全球治理体系改革和建设的正确理解是( )。,A、 要秉持共商共建共享的全球治理观||B、 要奉行双赢、多赢、共赢的新理念，摒弃冷战思维、零和博弈的旧理念||C、 这是构建人类命运共同体的内在要求||D、 坚持真正的多边主义，反对搞意识形态划线||E、 要推动全球治理体系朝着更加公正合理的方向发展,ABCDE
第十六章-副本,多选题,5 对共建“一带一路”的正确理解是( )。,A、 “一带一路”倡议根植历史、更面向未来，源于中国、更属于世界||B、 共建“一带一路”追求的是发展，崇尚的是共赢，传递的是希望||C、 共建“一带一路”不以意识形态划界，是各方共同打造的国际公共产品||D、 共建“一带一路”是造福沿线各国人民的大事业||E、 共建“一带一路”是推动构建人类命运共同体的实践平台,ABCDE
第十六章-副本,多选题,6 中国特色大国外交要坚持的原则要求是( )。,A、 坚持以相互尊重、合作共赢为基础，走和平发展道路||B、 坚持以中国特色社会主义为根本，增强战略自信||C、 坚持以公平正义为理念引领全球治理体系改革||D、 坚持以国家核心利益为底线维护国家主权、安全、发展利益||E、 坚持和加强党对对外工作的集中统一领导,ABCDE
第十六章-副本,多选题,"7 坚持真正的多边主义，完善全球治理体系,要( )。",A、 推动共同发展，维护世界和平稳定||B、 反对搞针对特定国家的阵营化和排他性小圈子||C、 坚持协商合作，不搞冲突对抗||D、 反对一切形式的单边主义、脱钩、断供等错误做法||E、 坚持以联合国宪章宗旨和原则为基础的国际关系基本准则，反对搞 意识形态划线,ABCDE
第十六章-副本,多选题,8 我国走和平发展道路，是( )。,A、 基于中国历史文化传统作出的必然选择||B、 中国人民对实现自身发展目标的自信和自觉||C、 对国际社会关注中国发展走向的回应||D、 符合历史潮流、顺应世界大势的正确选择||E、 由中国共产党性质宗旨和我国社会主义制度决定的,ABCDE
第十六章-副本,多选题,9 积极推动中美关系稳定发展，同俄罗斯发展全面战略协作伙伴关系，同欧洲发展( )伙伴关系。,A、 文明||B、 和平||C、 改革||D、 增长,ABCD
第十六章-副本,多选题,10 新型国际关系的内容是( )。,A、 合作共赢||B、 和平共处||C、 相互尊重||D、 公平正义,ACD
第十六章-副本,多选题,11 中国走和平发展道路的自信和自觉( )。,A、 来源于中华文明的深厚渊源||B、 来源于对现实中国发展目标条件的认知||C、 来源于和平发展的大局||D、 来源于对世界发展大势的把握,ABD
第十六章-副本,多选题,12 中国特色大国外交的独特风范表现在( )。,"A、 倡导不同社会制度和发展道路相互包容||B、 倡导不同国家、不同民族、不同文明互学互鉴||C、 坚持马克思主义立场观点方法,从中华优秀传统文化中汲取智慧||D、 坚持爱国主义同国际主义相结合||E、 坚持诚信为本，始终恪守政治承诺",ABCDE
第十六章-副本,多选题,13 坚持以( )为基础走和平发展道路。,A、 人文交流||B、 合作共赢||C、 不冲突不对抗||D、 相互尊重,BD
第十六章-副本,多选题,14 当今世界正经历百年未有之大变局，具体表现在()。,A、 世界面临的不稳定性不确定性突出，全球性问题加剧||B、 国际体系和国际秩序深度调整||C、 新一轮科技革命和产业变革深入发展||D、 世界多极化、经济全球化、社会信息化、文化多样化深入发展||E、 国际力量对比深刻变化,ABCDE
第十六章-副本,多选题,15 我国独立自主的和平外交政策的内容包括( )。,A、 反对冷战思维，反对干涉别国内政，反对搞双重标准||B、 中国始终根据事情本身的是非曲直决定自己的立场和政策||C、 坚决反对一切形式的範权主义和强权政治||D、 中国尊重各国主权和领土完整，尊重各国人民选择的发展道路和社会制度||E、 奉行防御性的国防政策，中国永远不称霸、永远不搞扩张,ABCDE
第十六章-副本,填空题,1 中国特色大国外交牢牢把握服务____、促进____这条主线。,,民族复兴 人类进步
第十六章-副本,填空题,2 习近平外交思想坚持以____为使命，推进中国特色大国外交;坚持以____、促进共同发展为宗旨，推动构建人类命运共同体。,,实现中华民族伟大复兴 维护世界和平
第十六章-副本,填空题,3 2015年9月，习近平在出席第七十届联合国大会一般性辩论时明确指出:“____、发展、公平、正义、民主、____，是全人类的共同价值，也是联合国的崇高目标。”,,和平 自由
第十六章-副本,填空题,4 推动____，是当代中国共产党人回答和解决关乎人类前途命运的时代之问的中国方案，也是新时代对外工作的总目标。,,构建人类命运共同体
第十六章-副本,填空题,5 共建“____”是对中国与世界实现开放共赢路径的顶层设计，是推动构建人类命运共同体的实践平台。,,一带一路
第十六章-副本,判断题,1 中国外交秉持真实亲诚理念和正确义利观，加强同周边国家的团结合作。( ),,错
第十六章-副本,判断题,2 中国外交秉持求同存异、相互尊重、互学互鉴理念，构建新型政党关系。,,对
第十六章-副本,判断题,3 全人类共同价值与西方所谓的“普世价值”是两个不同的概念，两者存在根本区别。前者反映了全人类的共同利益，体现了不同文明的价值共识，后者仅代表部分西方国家的利益，依靠霸权强行输出。世界上不存在高人一等的“自由民主”，不存在唯我独尊的“普世价值”。 ( ),,对
第十六章-副本,判断题,4 中国外交秉持亲诚惠容的周边外交理念，着力深化互利共嬴格局，找准同周边国家互利合作的战略契合点，构建区域经济一体化新格局。( ),,对
第十章 建设社会主义文化强国-副本,单选题,1 构建中国特色哲学社会科学，是掌握意识形态工作领导权的内在要求，首要的是( )。,A、 在学科体系、学术体系等方面体现中国特色、中国风格、中国气派||B、 建设中国特色新型智库||C、 旗帜鲜明坚持以马克思主义为指导，深化马克思主义理论研究和建设||D、 拒绝一切来自西方哲学社会科学的影响,C
第十章 建设社会主义文化强国-副本,单选题,2 建设社会主义文化强国、推动社会主义文化繁荣兴盛，关键在于()。,A、 提高综合国力||B、 贯彻新发展理念||C、 高质量发展||D、 坚定中国特色社会主义文化自信,D
第十章 建设社会主义文化强国-副本,单选题,3 下列观点和认识中，错误的是 ( )。,A、 文化是一种跨越国界、跨越民族、跨越时空的普适性精神力量，因此，要积极融入世界文化，完全没有必要坚守中华文化立场、走中国特色社会主义文化发展道路||B、 文化强国既表现为具有高度文化素养的国民，也表现为发达的文化产业，还表现为强大的文化软实力||C、 当今时代，文化在综合国力竞争中的地位日益重要，谁占据了文化发展的制高点，谁就能够更好地在激烈的国际竞争中掌握主动权||D、 文化自信是一个国家、一个民族发展中更基本、更深沉、更持久的力量。坚定文化自信，事关文化安全，事关民族精神的独立性,A
第十章 建设社会主义文化强国-副本,单选题,4 一个国家、一个民族的强盛，总是以文化兴盛为支撑的，中华民族伟大复兴需要以( )发展繁荣为条件。,A、 社会主义经济||B、 社会主义制度||C、 中华文化||D、 社会主义文化,C
第十章 建设社会主义文化强国-副本,单选题,5 ( )是中华文明的智慧结晶和精华所在，是中华民族的根和魂，是我们在世界文化激荡中站稳脚跟的根基。,A、 革命文化号||B、 中华优秀传统文化||C、 社会主义先进文化||D、 中国特色社会主义文化,B
第十章 建设社会主义文化强国-副本,单选题,6 ( )是担负文化使命、实现中华民族伟大复兴的根本保证。,A、 科学的民族的大众的文化||B、 文化自信||C、 文化发展繁荣||D、 党的领导,D
第十章 建设社会主义文化强国-副本,单选题,7 ( )提出社会主义核心价值观。,A、 党的十八大||B、 党的十七大||C、 党的二十大||D、 党的十九大,A
第十章 建设社会主义文化强国-副本,单选题,8 ( )是更基础、更广泛、更深厚的自信，是一个国家、一个民族发展中最基本、最深沉、最持久的力量。,A、 文化软实力||B、 文化自信||C、 中国特色社会主义文化||D、 文化自觉,B
第十章 建设社会主义文化强国-副本,单选题,9 培育和践行社会主义核心价值观，要把( )融入社会生活各个方面。,A、 理想信念、价值理念、道德观念||B、 社会主义核心价值体系||C、 社会主义核心价值观||D、 中华优秀传统文化,C
第十章 建设社会主义文化强国-副本,单选题,10 ( )是当代中国文化发展的灵魂。,A、 马克思主义||B、 中国特色社会主义||C、 社会主义||D、 中华优秀传统文化,A
第十章 建设社会主义文化强国-副本,单选题,11 建设社会主义文化强国，必须培养高度的( )。,A、 文化创造活力||B、 文化软实力||C、 文化自信||D、 文化自觉,C
第十章 建设社会主义文化强国-副本,单选题,12 ( )是一个民族赖以维系的精神纽带，是一个国家共同的思想道德基础。,A、 社会主义核心价值观||B、 社会主义核心价值体系||C、 理想信念||D、 核心价值观,D
第十章 建设社会主义文化强国-副本,单选题,13 建设中国特色社会主义文化，必须牢牢掌握( ).,A、 中国特色社会主义科学体系的构建||B、 网络空间的治理和引导||C、 马克思主义的科学理论||D、 意识形态工作领导权,D
第十章 建设社会主义文化强国-副本,多选题,1 坚定中国特色社会主义文化自信的底气来自( )。,A、 世界各国文明的交流互鉴||B、 中国特色社会主义的伟大实践。这是我们坚定文化自信的不竭源泉||C、 马克思主义指导下形成的革命文化和社会主义先进文化。这是我们坚定文化自信的根本所在||D、 中华优秀传统文化，这是我们坚定文化自信的深厚基础,BCD
第十章 建设社会主义文化强国-副本,多选题,2 坚持中国特色社会主义文化建设的“二为”方向，“二为”是()。,A、 为中国共产党治国理政服务||B、 为建设社会主义现代化国家||C、 为社会主义服务||D、 为人民服务,CD
第十章 建设社会主义文化强国-副本,多选题,3 文化繁荣兴盛是( )。,A、 满足人民日益增长的美好生活需要的内在要求||B、 在世界文化激荡中站稳脚跟的基础||C、 建设社会主义现代化强国的应有之义||D、 实现中华民族伟大复兴的必然要求,ABCD
第十章 建设社会主义文化强国-副本,多选题,4 中国共产党人精神谱系( )。,A、 已经深深融入党、国家、民族、人民的血脉和灵魂||B、 集中体现了党的坚定信念、根本宗旨、优良作风||C、 成为民族精神和时代精神的重要组成部分。||D、 凝聚着中国共产党人艰苦奋斗、牺牲奉献、开拓进取的伟大品格,ABCD
第十章 建设社会主义文化强国-副本,多选题,5 对“意识形态工作是为国家立心、为民族立魂的工作”的理解是()。,A、 坚持以什么思想理论为指导，关系国家的方向，关系民族的命脉||B、 意识形态工作事关党的前途命运和国家长治久安||C、 意识形态上不安全，必然导致政治上的不安全||D、 对马克思主义的信仰和社会主义道路，是中国特色社会主义文化活的灵魂||E、 坚持马克思主义在意识形态领域指导地位的制度是坚持和巩固我国社会主义制度、保证我国文化建设正确方向的必然要求,ABCDE
第十章 建设社会主义文化强国-副本,多选题,6 坚持举旗帜、聚民心、育新人、兴文化、展形象。举旗帜，就是要()。,A、 高举马克思主义的旗帜||B、 坚持不懈用习近平新时代中国特色社会主义思想武装全党、教育人民||C、 高举中国特色社会主义的旗帜||D、 高举无产阶级专政的旗帜,ABC
第十章 建设社会主义文化强国-副本,多选题,7 建设社会主义文化强国，必须做到( ),A、 提升公共文化服务水平||B、 健全现代文化产业体系||C、 提高国家文化软实力||D、 培养高度的文化自信,ABCD
第十章 建设社会主义文化强国-副本,多选题,8 意识形态工作( )。,A、 是党的一项极端重要的工作||B、 事关党的前途命运和国家长治久安||C、 事关民族凝聚力和向心力||D、 是为国家立心、为民族立魂的工作,ABCD
第十章 建设社会主义文化强国-副本,多选题,9 对待中华优秀传统文化的态度是( )。,A、 要反对复古主义，也要反对历史虚无主义||B、 要坚持创新性发展，就是对中华优秀传统文化的内涵加以补充、拓展、完善，增强其影响力和感召力||C、 要坚持马克思主义的立场观点方法，坚持古为今用、推陈出新，有鉴别地加以对待，有扬弃地予以继承||D、 要坚持创造性转化，对那些仍有借鉴价值的内涵和陈旧的表现形式加以改造，赋予其新的时代内涵,ABCD
第十章 建设社会主义文化强国-副本,多选题,"10 提高全社会文明程度,( )。",A、 是建设社会主义文化强国的重大任务||B、 实施公民道德建设工程||C、 是全面建设社会主义现代化国家的重要目标||D、 培育时代新风新貌||E、 要把理想信念教育作为基础性工程,ABCDE
第十章 建设社会主义文化强国-副本,多选题,11 一个国家的文化软实力，从根本上说，取决于其核心价值观的( )。,A、 凝聚力||B、 生命力||C、 感召力||D、 影响力,ABC
第十章 建设社会主义文化强国-副本,多选题,12 提高国家文化软实力，就必须( )。,A、 加强国际传播能力建设||B、 使当代中国价值观念走向世界。||C、 加快构建中国话语和中国叙事体系||D、 要客观真实向世界讲好中国故事||E、 全面阐述我国的发展观、文明观、全球治理观,ABCDE
第十章 建设社会主义文化强国-副本,多选题,"13 100多年前，中国共产党的先驱们创建了中国共产党,形成了( )的伟大建党精神。",A、 不怕牺牲、英勇斗争||B、 践行初心、担当使命||C、 坚持真理、坚守理想||D、 对党忠诚、不负人民,ABCD
第十章 建设社会主义文化强国-副本,多选题,14 必须坚持中国特色社会主义文化发展道路，增强文化自信，必须( )。,A、 以马克思主义为指导，坚守中华文化立场||B、 发展面向现代化、面向世界、面向未来的，民族的科学的大众的社会主义文化||C、 围绕举旗帜、聚民心、育新人、兴文化、展形象建设社会主义文化强国||D、 激发全民族文化创新创造活力，增强实现中华民族伟大复兴的精神力量,ABCD
第十章 建设社会主义文化强国-副本,多选题,15 像爱惜自己的生命一样保护好文化遗产，守护好中华文脉。因为()。,A、 文化遗产承载灿烂文明||B、 加强社会主义精神文明建设的深厚滋养||C、 维系民族精神||D、 传承历史文化,ABCD
第十章 建设社会主义文化强国-副本,多选题,16 社会主义核心价值观涉及国家、社会、公民三个层面的价值要求，具体表达为( ),A、 富强、民主、文明、和谐||B、 爱国、敬业、诚信、友善||C、 自由、民族、公正、法治||D、 自由、平等、公正、法治,ABD
第十章 建设社会主义文化强国-副本,填空题,1 ____是一个国家、一个民族的灵魂。,,文化
第十章 建设社会主义文化强国-副本,填空题,2 ____是我们立党立国、兴党兴国的根本指导思想。,,马克思主义
第十章 建设社会主义文化强国-副本,填空题,3 ____是意识形态工作的主阵地、主战场、最前沿.,,互联网
第十章 建设社会主义文化强国-副本,填空题,4 ____是更基础、更广泛、更深厚的自信，是一个国家、一个民族发展中最基本、最深沉、最持久的力量。,,文化自信
第十章 建设社会主义文化强国-副本,填空题,5 ____是推动社会主义文化繁荣兴盛的唯一正确道路。,,中国特色社会主义文化发展道路
第十章 建设社会主义文化强国-副本,填空题,6 习近平强调:“意识形态工作是为国家____、为民族____的工作。”,,立心 立魂
第十章 建设社会主义文化强国-副本,填空题,7 中华文明的突出特性连续性、____、____、包容性、和平性。,,创新性 统一性
第十章 建设社会主义文化强国-副本,填空题,8 ____，____，是繁荣发展社会主义文化的重要方针。,,百花齐放 百家争鸣
第十章 建设社会主义文化强国-副本,判断题,1 中华文明形成了中国人看待世界、看待社会、看待人生的独特价值体系、文化内涵和精神品质，铸就了中华民族博采众长的文化自信。( ),,对
第十章 建设社会主义文化强国-副本,判断题,2 一个国家、一个民族的强盛，总是以文化兴盛为支撑的。( ),,对
第十章 建设社会主义文化强国-副本,判断题,3 一个政权的瓦解往往是从思想领域开始的，政治动荡、政权更迭可能在一夜之间发生，思想演化也是转瞬即变。( ),,错
导论 练习题-副本,单选题,1 中国特色社会主义的总体布局是( )。,A、 “三位一体||B、 “六位一体”||C、 “五位一体||D、 “四位一体”,C
导论 练习题-副本,单选题,2 ( )是改革开放以来我们党全部理论和实践的鲜明主题。,A、 贯彻新发展理念||B、 改革开放||C、 坚持和发展中国特色社会主义||D、 以经济建设为中心,C
导论 练习题-副本,单选题,3 党的二十大提出了( )。,A、 “十三个方面成就”||B、 “十四个坚持”||C、 “十个明确”||D、 “六个必须坚持”,D
导论 练习题-副本,单选题,4 习近平新时代中国特色社会主义思想内容十分丰富，涵盖改革发展稳定、内政外交国防、治党治国治军等各个领域、各个方面，构成了一个系统完整、逻辑严密、相互贯通的思想理论体系。下面是指导思想层面的表述的是( 。,A、 “四个伟大”||B、 “十四个坚持”||C、 “十个明确”||D、 “六个必须坚持“||E、 “四个全面“,C
导论 练习题-副本,单选题,5 中国特色社会主义的战略布局是(,A、 “十四个坚持”||B、 “十个明确||C、 “四个全面||D、 “五位一体”,C
导论 练习题-副本,单选题,6 全面深化改革的总目标是( )。,A、 建设中国特色社会主义法治体系、建设社会主义法治国家||B、 坚持和发展中国特色社会主义||C、 完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化||D、 坚定道路自信、理论自信、制度自信、文化自信,C
导论 练习题-副本,单选题,7 ( )通过了关于《中国共产党章程(修正案)》的决议，把习近平新时代中国特色社会主义思想写入党章。,A、 党的十七大||B、 党的十九大||C、 党的二十大||D、 党的十八大,B
导论 练习题-副本,单选题,8 坚持和发展中国特色社会主义，总任务是( )。,A、 实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分两步走在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国||B、 建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为世界一流军队||C、 建设中国特色社会主义法治体系、建设社会主义法治国家||D、 完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化,A
导论 练习题-副本,单选题,9 中国特色社会主义最本质的特征是( )。.,A、 社会主义现代化||B、 人民当家作主||C、 中国共产党领导||D、 人民共同富裕,C
导论 练习题-副本,单选题,10 世界未有之大变局正在加速演变。( )仍然是时代主题，但是不稳定不确定性更加突出。,A、 和平与融合||B、 发展与共享||C、 和平与发展||D、 开放与包容,C
导论 练习题-副本,多选题,1 习近平总书记为习近平新时代中国特色社会主义思想的创立发挥了决定性作用，( )。,A、 艰苦磨练和扎实的从政历练，为这一思想积累了充分的实践养分||B、 丰富的文化积淀和良好的哲学素养，为这一思想奠定了深厚的理论底蕴||C、 坚定的政治信仰和朴素的人民情怀，为这一思想注入了强大精神基因||D、 非凡的政治胆略和高超的政治智慧，为这一思想开辟了宽阔视野,ABCD
导论 练习题-副本,多选题,2 习近平新时代中国特色社会主义思想创立的时代背景是()。,A、 中国成为世界领导角色||B、 世界百年未有之大变局加速演进||C、 新时代中国正处于中华民族伟大复兴的关键时期||D、 我国经济高速度发展,BC
导论 练习题-副本,多选题,3 坚持把马克思主义基本原理同( )相结合，用马克思主义观察时代、把握时代、引领时代，继续发展当代中国马克思主义、21世纪马克思主义。,A、 民族特色||B、 中国精神||C、 中国具体实际相结合||D、 中华优秀传统文化,CD
导论 练习题-副本,多选题,4 中国特色社会主义事业总体布局是“五位一体”、战略布局是“四个全面”，强调坚定( )。,A、 文化自信||B、 理论自信||C、 制度自信||D、 道路自信,ABCD
导论 练习题-副本,多选题,5 建设一支( )，的人民军队，是实现“两个一百年”奋斗目标、实现中华民族伟大复兴的战略支撑。,A、 作风优良||B、 能打胜仗||C、 全心全意为人民服务||D、 听党指挥,ABD
导论 练习题-副本,多选题,6 “十四个坚持”的基本方略，( )。,A、 涵盖坚持党的领导和“五位一体”总体布局、“四个全面”战略布局||B、 是对党的治国理政重大方针政策的最新概括||C、 涵盖国防和军队建设、维护国家安全、对外战略||D、 是实现“两个一百年”奋斗目标、实现中华民族伟大复兴中国梦的“路线图”和“方法论”。,ABCD
导论 练习题-副本,多选题,7 新时代中国正处于中华民族伟大复兴的关键时期，因为( )。,A、 中国式现代化全面推进拓展||B、 改革面临着许多前所未有的困难和挑战，处于攻坚克难的关键时期||C、 新时代的中国发生新的历史性变革||D、 我国发展站在了新的历史起点上,ABCD
导论 练习题-副本,多选题,8 习近平新时代中国特色社会主义思想是当代中国马克思主义、二十一世纪马克思主义，是( )的时代精华，实现了马克思主义中国化新的飞跃。,A、 中华文化||B、 中华品格||C、 中国力量||D、 中国精神,AD
导论 练习题-副本,多选题,9 习近平新时代中国特色社会主义思想回答了( )重大时代课题。,A、 建设什么样的长期执政的马克思主义政党、怎样建设长期执政的马克思主义政党||B、 建设什么美好的世界。怎样建设美好世界||C、 建设什么样的社会主义现代化强国、怎样建设社会主义现代化强国||D、 新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义,ACD
导论 练习题-副本,多选题,10 发展是解决我国一切问题的基础和关键，发展必须是科学发展，必须坚定不移贯彻创新( )的发展理念。,A、 开放||B、 共享||C、 协调||D、 绿色,ABCD
导论 练习题-副本,多选题,11 习近平新时代中国特色社会主义思想的主要内容包括( )。,A、 “十个明确”||B、 “十四个坚持”||C、 “六个必须坚持”||D、 “十三个方面成就”,ABCD
导论 练习题-副本,多选题,12 “两个确立”形成的依据是( )。,A、 “两个确立”是党的历史经验的总结运用||B、 “两个确立”是中国共产党基于唯物史观两个基本原理所作出的必然选择||C、 “两个确立”是战胜外部环境变化出现许多新的风险挑战、解决国内许多深层次矛盾和问题的需要||D、 “两个确立”是新时代十年实践形成的智慧结晶,ABCD
导论 练习题-副本,填空题,1 中国特色社会主义制度的最大优势是____。,,中国共产党领导
导论 练习题-副本,填空题,2 全面推进依法治国的总目标，是____，建设社会主义法治国家。,,建设中国特色社会主义法治体系
导论 练习题-副本,填空题,3 ____是马克思主义中国化的最新成果，是中国特色社会主义理论体系的重要组成部分。,,习近平新时代中国特色社会主义思想
导论 练习题-副本,填空题,4 ____是最高政治领导力量。,,中国共产党领导
导论 练习题-副本,填空题,5 全面深化改革总目标是____、推进国家治理体系和治理能力现代化。,,完善和发展中国特色社会主义制度
导论 练习题-副本,填空题,6 必须坚持和完善社会主义基本经济制度，使市场在资源配置中起____作用，更好发挥政府作用。,,决定性
导论 练习题-副本,填空题,7 习近平在强调坚持“第一个结合”的基础上，明确提出把____相结合的重大命题。,,马克思主义基本原理同中华优秀传统文化
导论 练习题-副本,填空题,8 “两个确立”是确立习近平同志党中央的核心、全党的核心地位，确立____。,,习近平新时代中国特色社会主义思想的指导地位
导论 练习题-副本,填空题,9 习近平新时代中国特色社会主义思想回答了新时代____、建设什么样的社会主义现代化强国怎样建设社会主义现代化强国、建设什么样的长期执政的马克思主义政党怎样建设长期执政的马克思主义政党的重大时代课题。,,坚持和发展什么样的中国特色社会主义怎样坚持和发展中国特色社会主义
导论 练习题-副本,判断题,1 习近平新时代中国特色社会主义思想是马克思主义中国化的第一次历史性飞跃。( ),,错
导论 练习题-副本,判断题,2 我们党的历史，就是一部不断推进马克思主义中国化的历史，就是一部不断推进理论创新、进行理论创造的历史。( ),,对
导论 练习题-副本,判断题,3 三个重大时代课题，是站在新时代历史节点上向中国共产党人提出的“时代三问”。( ),,对
导论 练习题-副本,判断题,4 习近平新时代中国特色社会主义思想是在把握世界发展大势、应对全球共同挑战、维护人类共同利益的过程中创立并不断丰富发展的。( ),,对
导论 练习题-副本,判断题,5 “三个代表”重要思想是当代中国马克思主义、二十一世纪马克思主义，是中华文化和中国精神的时代精华，实现了马克思主义中国化时代化新的飞跃。( ),,错
